"No.","Time","Source","Destination","Protocol","Length","Info"
"191","10.801151735","192.168.56.102","192.168.56.101","TCP","58","55479  >  1085 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"192","10.801200282","192.168.56.102","192.168.56.101","TCP","58","55479  >  4449 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"193","10.801225203","192.168.56.102","192.168.56.101","TCP","58","55479  >  5962 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"194","10.801257875","192.168.56.102","192.168.56.101","TCP","58","55479  >  8873 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"195","10.801283044","192.168.56.102","192.168.56.101","TCP","58","55479  >  8402 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"196","10.801314937","192.168.56.102","192.168.56.101","TCP","58","55479  >  3476 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"197","10.801374066","192.168.56.102","192.168.56.101","TCP","58","55479  >  12174 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"198","10.801461157","192.168.56.102","192.168.56.101","TCP","58","55479  >  2222 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"199","10.801508688","192.168.56.102","192.168.56.101","TCP","58","55479  >  3905 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"200","10.801540466","192.168.56.102","192.168.56.101","TCP","58","55479  >  2041 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
